Year,Month,Day,Hour,Load
2004,1,1,1,23339.0
2004,1,1,2,22100.0
2004,1,1,3,21376.0
2004,1,1,4,21335.0
2004,1,1,5,21564.0
2004,1,1,6,22241.0
2004,1,1,7,22937.0
2004,1,1,8,23666.0
2004,1,1,9,24110.0
2004,1,1,10,24116.0
2004,1,1,11,23718.0
2004,1,1,12,22770.0
2004,1,1,13,21866.0
2004,1,1,14,20771.0
2004,1,1,15,20122.0
2004,1,1,16,20073.0
2004,1,1,17,21130.0
2004,1,1,18,24825.0
2004,1,1,19,26427.0
2004,1,1,20,26461.0
2004,1,1,21,26200.0
2004,1,1,22,25378.0
2004,1,1,23,23826.0
2004,1,1,24,22026.0
2004,1,2,1,20564.0
2004,1,2,2,20121.0
2004,1,2,3,19764.0
2004,1,2,4,19683.0
2004,1,2,5,20647.0
2004,1,2,6,22806.0
2004,1,2,7,24602.0
2004,1,2,8,26422.0
2004,1,2,9,27309.0
2004,1,2,10,28473.0
2004,1,2,11,28774.0
2004,1,2,12,28102.0
2004,1,2,13,26392.0
2004,1,2,14,25394.0
2004,1,2,15,25164.0
2004,1,2,16,25033.0
2004,1,2,17,25784.0
2004,1,2,18,28994.0
2004,1,2,19,30139.0
2004,1,2,20,29436.0
2004,1,2,21,28756.0
2004,1,2,22,28097.0
2004,1,2,23,26696.0
2004,1,2,24,24589.0
2004,1,3,1,22748.0
2004,1,3,2,21455.0
2004,1,3,3,20959.0
2004,1,3,4,20532.0
2004,1,3,5,21449.0
2004,1,3,6,22975.0
2004,1,3,7,24173.0
2004,1,3,8,25211.0
2004,1,3,9,26301.0
2004,1,3,10,26440.0
2004,1,3,11,26496.0
2004,1,3,12,25105.0
2004,1,3,13,23758.0
2004,1,3,14,22725.0
2004,1,3,15,21907.0
2004,1,3,16,21586.0
2004,1,3,17,21685.0
2004,1,3,18,24175.0
2004,1,3,19,24618.0
2004,1,3,20,23812.0
2004,1,3,21,23097.0
2004,1,3,22,21471.0
2004,1,3,23,19695.0
2004,1,3,24,17957.0
2004,1,4,1,16657.0
2004,1,4,2,15766.0
2004,1,4,3,15095.0
2004,1,4,4,14790.0
2004,1,4,5,14949.0
2004,1,4,6,15181.0
2004,1,4,7,15794.0
2004,1,4,8,16953.0
2004,1,4,9,18469.0
2004,1,4,10,19453.0
2004,1,4,11,19007.0
2004,1,4,12,17709.0
2004,1,4,13,17381.0
2004,1,4,14,17080.0
2004,1,4,15,16766.0
2004,1,4,16,16644.0
2004,1,4,17,17592.0
2004,1,4,18,20547.0
2004,1,4,19,21341.0
2004,1,4,20,20702.0
2004,1,4,21,20514.0
2004,1,4,22,19243.0
2004,1,4,23,17586.0
2004,1,4,24,15966.0
2004,1,5,1,14665.0
2004,1,5,2,14223.0
2004,1,5,3,14357.0
2004,1,5,4,14502.0
2004,1,5,5,15388.0
2004,1,5,6,18462.0
2004,1,5,7,22474.0
2004,1,5,8,24595.0
2004,1,5,9,23762.0
2004,1,5,10,23654.0
2004,1,5,11,23689.0
2004,1,5,12,23918.0
2004,1,5,13,23684.0
2004,1,5,14,23323.0
2004,1,5,15,23264.0
2004,1,5,16,23460.0
2004,1,5,17,25147.0
2004,1,5,18,27685.0
2004,1,5,19,28354.0
2004,1,5,20,28000.0
2004,1,5,21,26991.0
2004,1,5,22,25702.0
2004,1,5,23,23567.0
2004,1,5,24,21478.0
2004,1,6,1,19767.0
2004,1,6,2,19050.0
2004,1,6,3,19466.0
2004,1,6,4,20067.0
2004,1,6,5,22010.0
2004,1,6,6,24476.0
2004,1,6,7,28577.0
2004,1,6,8,31360.0
2004,1,6,9,29791.0
2004,1,6,10,28644.0
2004,1,6,11,28043.0
2004,1,6,12,27300.0
2004,1,6,13,26644.0
2004,1,6,14,26120.0
2004,1,6,15,25562.0
2004,1,6,16,25586.0
2004,1,6,17,27024.0
2004,1,6,18,30584.0
2004,1,6,19,32135.0
2004,1,6,20,32700.0
2004,1,6,21,34620.0
2004,1,6,22,33503.0
