Year,Month,Day,Hour,Load
2003,3,1,0,3386.0
2003,3,1,1,3258.0
2003,3,1,2,3189.0
2003,3,1,3,3157.0
2003,3,1,4,3166.0
2003,3,1,5,3255.0
2003,3,1,6,3430.0
2003,3,1,7,3684.0
2003,3,1,8,3977.0
2003,3,1,9,4129.0
2003,3,1,10,4137.0
2003,3,1,11,4053.0
2003,3,1,12,3935.0
2003,3,1,13,3850.0
2003,3,1,14,3804.0
2003,3,1,15,3799.0
2003,3,1,16,3935.0
2003,3,1,17,4148.0
2003,3,1,18,4302.0
2003,3,1,19,4197.0
2003,3,1,20,4056.0
2003,3,1,21,3872.0
2003,3,1,22,3615.0
2003,3,1,23,3358.0
2003,3,2,0,3122.0
2003,3,2,1,2983.0
2003,3,2,2,2904.0
2003,3,2,3,2845.0
2003,3,2,4,2844.0
2003,3,2,5,2901.0
2003,3,2,6,3022.0
2003,3,2,7,3208.0
2003,3,2,8,3510.0
2003,3,2,9,3775.0
2003,3,2,10,3949.0
2003,3,2,11,4023.0
2003,3,2,12,4027.0
2003,3,2,13,3949.0
2003,3,2,14,3903.0
2003,3,2,15,3925.0
2003,3,2,16,3972.0
2003,3,2,17,4115.0
2003,3,2,18,4340.0
2003,3,2,19,4288.0
2003,3,2,20,4122.0
2003,3,2,21,3866.0
2003,3,2,22,3529.0
2003,3,2,23,3249.0
2003,3,3,0,3066.0
2003,3,3,1,2999.0
2003,3,3,2,2987.0
2003,3,3,3,3069.0
2003,3,3,4,3218.0
2003,3,3,5,3610.0
2003,3,3,6,4262.0
2003,3,3,7,4673.0
2003,3,3,8,4786.0
2003,3,3,9,4819.0
2003,3,3,10,4837.0
2003,3,3,11,4804.0
2003,3,3,12,4735.0
2003,3,3,13,4669.0
2003,3,3,14,4591.0
2003,3,3,15,4544.0
2003,3,3,16,4657.0
2003,3,3,17,4968.0
2003,3,3,18,5300.0
2003,3,3,19,5246.0
2003,3,3,20,5077.0
2003,3,3,21,4777.0
2003,3,3,22,4343.0
2003,3,3,23,4000.0
2003,3,4,0,3776.0
2003,3,4,1,3696.0
2003,3,4,2,3662.0
2003,3,4,3,3676.0
2003,3,4,4,3761.0
2003,3,4,5,4070.0
2003,3,4,6,4637.0
2003,3,4,7,4956.0
2003,3,4,8,4970.0
2003,3,4,9,4873.0
2003,3,4,10,4782.0
2003,3,4,11,4671.0
2003,3,4,12,4533.0
2003,3,4,13,4475.0
2003,3,4,14,4355.0
2003,3,4,15,4294.0
2003,3,4,16,4381.0
2003,3,4,17,4648.0
2003,3,4,18,4957.0
2003,3,4,19,4869.0
2003,3,4,20,4682.0
2003,3,4,21,4361.0
2003,3,4,22,3933.0
2003,3,4,23,3584.0
2003,3,5,0,3313.0
2003,3,5,1,3206.0
2003,3,5,2,3155.0
2003,3,5,3,3130.0
2003,3,5,4,3194.0
2003,3,5,5,3468.0
2003,3,5,6,4033.0
2003,3,5,7,4397.0
2003,3,5,8,4528.0
2003,3,5,9,4532.0
2003,3,5,10,4519.0
2003,3,5,11,4467.0
2003,3,5,12,4381.0
2003,3,5,13,4355.0
2003,3,5,14,4275.0
2003,3,5,15,4220.0
2003,3,5,16,4283.0
2003,3,5,17,4431.0
2003,3,5,18,4682.0
2003,3,5,19,4579.0
2003,3,5,20,4395.0
2003,3,5,21,4102.0
2003,3,5,22,3675.0
2003,3,5,23,3343.0
2003,3,6,0,3110.0
2003,3,6,1,3011.0
2003,3,6,2,2977.0
2003,3,6,3,2970.0
2003,3,6,4,3050.0
2003,3,6,5,3382.0
2003,3,6,6,3916.0
2003,3,6,7,4301.0
2003,3,6,8,4479.0
2003,3,6,9,4591.0
2003,3,6,10,4697.0
2003,3,6,11,4774.0
2003,3,6,12,4780.0
2003,3,6,13,4745.0
2003,3,6,14,4638.0
2003,3,6,15,4572.0
2003,3,6,16,4660.0
2003,3,6,17,4889.0
2003,3,6,18,5153.0
2003,3,6,19,5050.0
2003,3,6,20,4811.0
2003,3,6,21,4501.0
2003,3,6,22,4092.0
2003,3,6,23,3763.0
2003,3,7,0,3574.0
2003,3,7,1,3506.0
2003,3,7,2,3483.0
2003,3,7,3,3504.0
2003,3,7,4,3615.0
2003,3,7,5,3934.0
2003,3,7,6,4426.0
2003,3,7,7,4735.0
2003,3,7,8,4765.0
2003,3,7,9,4699.0
2003,3,7,10,4634.0
2003,3,7,11,4545.0
2003,3,7,12,4419.0
2003,3,7,13,4360.0
2003,3,7,14,4259.0
2003,3,7,15,4260.0
2003,3,7,16,4348.0
2003,3,7,17,4555.0
2003,3,7,18,4822.0
2003,3,7,19,4725.0
2003,3,7,20,4542.0
2003,3,7,21,4301.0
2003,3,7,22,3980.0
2003,3,7,23,3651.0
2003,3,8,0,3381.0
2003,3,8,1,3237.0
2003,3,8,2,3159.0
2003,3,8,3,3118.0
2003,3,8,4,3130.0
2003,3,8,5,3244.0
2003,3,8,6,3412.0
2003,3,8,7,3661.0
2003,3,8,8,3868.0
2003,3,8,9,3964.0
2003,3,8,10,3923.0
2003,3,8,11,3854.0
2003,3,8,12,3707.0
2003,3,8,13,3594.0
2003,3,8,14,3502.0
2003,3,8,15,3474.0
2003,3,8,16,3560.0
2003,3,8,17,3808.0
2003,3,8,18,4125.0
2003,3,8,19,4070.0
2003,3,8,20,3940.0
2003,3,8,21,3777.0
2003,3,8,22,3552.0
2003,3,8,23,3309.0
2003,3,9,0,3081.0
2003,3,9,1,2922.0
2003,3,9,2,2847.0
2003,3,9,3,2794.0
2003,3,9,4,2784.0
2003,3,9,5,2842.0
2003,3,9,6,2920.0
2003,3,9,7,3083.0
2003,3,9,8,3286.0
2003,3,9,9,3501.0
2003,3,9,10,3568.0
2003,3,9,11,3566.0
2003,3,9,12,3530.0
2003,3,9,13,3466.0
2003,3,9,14,3411.0
2003,3,9,15,3430.0
2003,3,9,16,3555.0
2003,3,9,17,3840.0
2003,3,9,18,4258.0
2003,3,9,19,4298.0
2003,3,9,20,4206.0
2003,3,9,21,3980.0
2003,3,9,22,3676.0
2003,3,9,23,3446.0
2003,3,10,0,3282.0
2003,3,10,1,3242.0
2003,3,10,2,3230.0
2003,3,10,3,3258.0
2003,3,10,4,3373.0
2003,3,10,5,3725.0
2003,3,10,6,4282.0
2003,3,10,7,4620.0
2003,3,10,8,4664.0
2003,3,10,9,4655.0
2003,3,10,10,4663.0
2003,3,10,11,4634.0
2003,3,10,12,4554.0
2003,3,10,13,4511.0
2003,3,10,14,4433.0
2003,3,10,15,4389.0
2003,3,10,16,4477.0
2003,3,10,17,4730.0
2003,3,10,18,5065.0
2003,3,10,19,5048.0
2003,3,10,20,4860.0
2003,3,10,21,4545.0
2003,3,10,22,4128.0
2003,3,10,23,3801.0
2003,3,11,0,3585.0
2003,3,11,1,3503.0
2003,3,11,2,3474.0
2003,3,11,3,3485.0
2003,3,11,4,3578.0
2003,3,11,5,3894.0
2003,3,11,6,4450.0
2003,3,11,7,4721.0
2003,3,11,8,4705.0
2003,3,11,9,4635.0
2003,3,11,10,4583.0
2003,3,11,11,4491.0
2003,3,11,12,4411.0
2003,3,11,13,4343.0
2003,3,11,14,4249.0
2003,3,11,15,4223.0
2003,3,11,16,4340.0
2003,3,11,17,4610.0
2003,3,11,18,4876.0
2003,3,11,19,4799.0
2003,3,11,20,4593.0
2003,3,11,21,4288.0
2003,3,11,22,3870.0
2003,3,11,23,3499.0
2003,3,12,0,3263.0
2003,3,12,1,3164.0
2003,3,12,2,3107.0
2003,3,12,3,3098.0
2003,3,12,4,3164.0
2003,3,12,5,3470.0
2003,3,12,6,4013.0
2003,3,12,7,4363.0
2003,3,12,8,4396.0
2003,3,12,9,4329.0
2003,3,12,10,4277.0
2003,3,12,11,4223.0
2003,3,12,12,4144.0
2003,3,12,13,4119.0
2003,3,12,14,4067.0
2003,3,12,15,4052.0
2003,3,12,16,4124.0
2003,3,12,17,4284.0
2003,3,12,18,4583.0
2003,3,12,19,4541.0
2003,3,12,20,4363.0
2003,3,12,21,4074.0
2003,3,12,22,3661.0
2003,3,12,23,3309.0
2003,3,13,0,3082.0
2003,3,13,1,2987.0
2003,3,13,2,2929.0
2003,3,13,3,2923.0
2003,3,13,4,2988.0
2003,3,13,5,3289.0
2003,3,13,6,3832.0
2003,3,13,7,4187.0
2003,3,13,8,4288.0
2003,3,13,9,4343.0
2003,3,13,10,4393.0
2003,3,13,11,4397.0
2003,3,13,12,4405.0
2003,3,13,13,4436.0
2003,3,13,14,4415.0
2003,3,13,15,4427.0
2003,3,13,16,4531.0
2003,3,13,17,4689.0
2003,3,13,18,4892.0
2003,3,13,19,4786.0
2003,3,13,20,4580.0
2003,3,13,21,4246.0
2003,3,13,22,3856.0
2003,3,13,23,3554.0
2003,3,14,0,3344.0
2003,3,14,1,3270.0
2003,3,14,2,3244.0
2003,3,14,3,3262.0
2003,3,14,4,3352.0
2003,3,14,5,3665.0
2003,3,14,6,4190.0
2003,3,14,7,4555.0
2003,3,14,8,4572.0
2003,3,14,9,4542.0
2003,3,14,10,4504.0
2003,3,14,11,4449.0
2003,3,14,12,4346.0
2003,3,14,13,4280.0
2003,3,14,14,4170.0
2003,3,14,15,4110.0
2003,3,14,16,4156.0
2003,3,14,17,4306.0
2003,3,14,18,4596.0
2003,3,14,19,4562.0
2003,3,14,20,4398.0
2003,3,14,21,4180.0
2003,3,14,22,3861.0
2003,3,14,23,3557.0
2003,3,15,0,3286.0
2003,3,15,1,3145.0
2003,3,15,2,3064.0
2003,3,15,3,3009.0
2003,3,15,4,3019.0
2003,3,15,5,3126.0
2003,3,15,6,3270.0
2003,3,15,7,3526.0
2003,3,15,8,3804.0
2003,3,15,9,3929.0
2003,3,15,10,3944.0
2003,3,15,11,3867.0
2003,3,15,12,3704.0
2003,3,15,13,3574.0
2003,3,15,14,3492.0
2003,3,15,15,3418.0
2003,3,15,16,3464.0
2003,3,15,17,3623.0
2003,3,15,18,3953.0
2003,3,15,19,3955.0
2003,3,15,20,3851.0
2003,3,15,21,3691.0
2003,3,15,22,3480.0
2003,3,15,23,3259.0
2003,3,16,0,3039.0
2003,3,16,1,2911.0
2003,3,16,2,2856.0
2003,3,16,3,2814.0
2003,3,16,4,2828.0
2003,3,16,5,2900.0
2003,3,16,6,2976.0
2003,3,16,7,3130.0
2003,3,16,8,3326.0
2003,3,16,9,3450.0
2003,3,16,10,3471.0
2003,3,16,11,3458.0
2003,3,16,12,3393.0
2003,3,16,13,3301.0
2003,3,16,14,3218.0
2003,3,16,15,3191.0
2003,3,16,16,3253.0
2003,3,16,17,3453.0
2003,3,16,18,3803.0
2003,3,16,19,3830.0
2003,3,16,20,3713.0
2003,3,16,21,3462.0
2003,3,16,22,3143.0
2003,3,16,23,2876.0
2003,3,17,0,2677.0
