Year,Month,Day,Hour,Load
2003,3,1,0,5913.0
2003,3,1,1,5704.0
2003,3,1,2,5594.0
2003,3,1,3,5561.0
2003,3,1,4,5595.0
2003,3,1,5,5766.0
2003,3,1,6,6047.0
2003,3,1,7,6434.0
2003,3,1,8,6863.0
2003,3,1,9,7046.0
2003,3,1,10,7064.0
2003,3,1,11,6980.0
2003,3,1,12,6811.0
2003,3,1,13,6615.0
2003,3,1,14,6495.0
2003,3,1,15,6443.0
2003,3,1,16,6595.0
2003,3,1,17,7069.0
2003,3,1,18,7409.0
2003,3,1,19,7277.0
2003,3,1,20,7031.0
2003,3,1,21,6729.0
2003,3,1,22,6305.0
2003,3,1,23,5833.0
2003,3,2,0,5449.0
2003,3,2,1,5227.0
2003,3,2,2,5094.0
2003,3,2,3,5021.0
2003,3,2,4,5015.0
2003,3,2,5,5108.0
2003,3,2,6,5269.0
2003,3,2,7,5551.0
2003,3,2,8,6028.0
2003,3,2,9,6450.0
2003,3,2,10,6741.0
2003,3,2,11,6927.0
2003,3,2,12,6992.0
2003,3,2,13,6936.0
2003,3,2,14,6887.0
2003,3,2,15,6875.0
2003,3,2,16,7102.0
2003,3,2,17,7431.0
2003,3,2,18,7643.0
2003,3,2,19,7491.0
2003,3,2,20,7213.0
2003,3,2,21,6767.0
2003,3,2,22,6199.0
2003,3,2,23,5690.0
2003,3,3,0,5362.0
2003,3,3,1,5214.0
2003,3,3,2,5183.0
2003,3,3,3,5240.0
2003,3,3,4,5481.0
2003,3,3,5,6095.0
2003,3,3,6,7085.0
2003,3,3,7,7774.0
2003,3,3,8,8035.0
2003,3,3,9,8147.0
2003,3,3,10,8206.0
2003,3,3,11,8223.0
2003,3,3,12,8158.0
2003,3,3,13,8080.0
2003,3,3,14,7958.0
2003,3,3,15,7929.0
2003,3,3,16,8096.0
2003,3,3,17,8545.0
2003,3,3,18,9046.0
2003,3,3,19,8959.0
2003,3,3,20,8666.0
2003,3,3,21,8166.0
2003,3,3,22,7483.0
2003,3,3,23,6841.0
2003,3,4,0,6460.0
2003,3,4,1,6281.0
2003,3,4,2,6226.0
2003,3,4,3,6250.0
2003,3,4,4,6390.0
2003,3,4,5,6903.0
2003,3,4,6,7782.0
2003,3,4,7,8352.0
2003,3,4,8,8450.0
2003,3,4,9,8407.0
2003,3,4,10,8313.0
2003,3,4,11,8194.0
2003,3,4,12,8025.0
2003,3,4,13,7889.0
2003,3,4,14,7713.0
2003,3,4,15,7649.0
2003,3,4,16,7742.0
2003,3,4,17,8144.0
2003,3,4,18,8562.0
2003,3,4,19,8452.0
2003,3,4,20,8140.0
2003,3,4,21,7594.0
2003,3,4,22,6889.0
2003,3,4,23,6222.0
2003,3,5,0,5800.0
2003,3,5,1,5581.0
2003,3,5,2,5468.0
2003,3,5,3,5430.0
2003,3,5,4,5529.0
2003,3,5,5,6007.0
2003,3,5,6,6808.0
2003,3,5,7,7408.0
2003,3,5,8,7551.0
2003,3,5,9,7597.0
2003,3,5,10,7609.0
2003,3,5,11,7591.0
2003,3,5,12,7514.0
2003,3,5,13,7489.0
2003,3,5,14,7397.0
2003,3,5,15,7400.0
2003,3,5,16,7575.0
2003,3,5,17,7952.0
2003,3,5,18,8163.0
2003,3,5,19,7982.0
2003,3,5,20,7665.0
2003,3,5,21,7171.0
2003,3,5,22,6476.0
2003,3,5,23,5852.0
2003,3,6,0,5465.0
2003,3,6,1,5292.0
2003,3,6,2,5218.0
2003,3,6,3,5221.0
2003,3,6,4,5371.0
2003,3,6,5,5872.0
2003,3,6,6,6841.0
2003,3,6,7,7496.0
2003,3,6,8,7715.0
2003,3,6,9,7809.0
2003,3,6,10,7903.0
2003,3,6,11,7976.0
2003,3,6,12,8010.0
2003,3,6,13,8057.0
