Year,Month,Day,Hour,Load
2003,3,1,0,1111.0
2003,3,1,1,1063.0
2003,3,1,2,1053.0
2003,3,1,3,1050.0
2003,3,1,4,1077.0
2003,3,1,5,1138.0
2003,3,1,6,1208.0
2003,3,1,7,1305.0
2003,3,1,8,1386.0
2003,3,1,9,1393.0
2003,3,1,10,1371.0
2003,3,1,11,1342.0
2003,3,1,12,1293.0
2003,3,1,13,1256.0
2003,3,1,14,1240.0
2003,3,1,15,1249.0
2003,3,1,16,1297.0
2003,3,1,17,1403.0
2003,3,1,18,1449.0
2003,3,1,19,1404.0
2003,3,1,20,1353.0
2003,3,1,21,1276.0
2003,3,1,22,1187.0
2003,3,1,23,1092.0
2003,3,2,0,1033.0
2003,3,2,1,1000.0
2003,3,2,2,976.0
2003,3,2,3,967.0
2003,3,2,4,996.0
2003,3,2,5,1028.0
2003,3,2,6,1090.0
2003,3,2,7,1184.0
2003,3,2,8,1293.0
2003,3,2,9,1347.0
2003,3,2,10,1379.0
2003,3,2,11,1398.0
2003,3,2,12,1414.0
2003,3,2,13,1408.0
2003,3,2,14,1406.0
2003,3,2,15,1409.0
2003,3,2,16,1451.0
2003,3,2,17,1525.0
2003,3,2,18,1538.0
2003,3,2,19,1491.0
2003,3,2,20,1399.0
2003,3,2,21,1266.0
2003,3,2,22,1151.0
2003,3,2,23,1061.0
2003,3,3,0,1003.0
2003,3,3,1,974.0
2003,3,3,2,977.0
2003,3,3,3,1002.0
2003,3,3,4,1065.0
2003,3,3,5,1208.0
2003,3,3,6,1411.0
2003,3,3,7,1512.0
2003,3,3,8,1532.0
2003,3,3,9,1536.0
2003,3,3,10,1571.0
2003,3,3,11,1566.0
2003,3,3,12,1562.0
2003,3,3,13,1543.0
2003,3,3,14,1512.0
2003,3,3,15,1506.0
2003,3,3,16,1553.0
2003,3,3,17,1666.0
2003,3,3,18,1746.0
2003,3,3,19,1706.0
2003,3,3,20,1632.0
2003,3,3,21,1500.0
2003,3,3,22,1442.0
2003,3,3,23,1348.0
2003,3,4,0,1300.0
2003,3,4,1,1268.0
2003,3,4,2,1275.0
2003,3,4,3,1284.0
2003,3,4,4,1318.0
2003,3,4,5,1400.0
2003,3,4,6,1555.0
2003,3,4,7,1623.0
2003,3,4,8,1595.0
2003,3,4,9,1581.0
2003,3,4,10,1573.0
2003,3,4,11,1534.0
2003,3,4,12,1505.0
2003,3,4,13,1489.0
2003,3,4,14,1460.0
2003,3,4,15,1457.0
2003,3,4,16,1494.0
2003,3,4,17,1592.0
2003,3,4,18,1664.0
2003,3,4,19,1612.0
2003,3,4,20,1542.0
2003,3,4,21,1420.0
2003,3,4,22,1280.0
2003,3,4,23,1176.0
2003,3,5,0,1110.0
2003,3,5,1,1074.0
2003,3,5,2,1057.0
2003,3,5,3,1055.0
2003,3,5,4,1095.0
2003,3,5,5,1217.0
2003,3,5,6,1415.0
2003,3,5,7,1466.0
2003,3,5,8,1470.0
2003,3,5,9,1473.0
2003,3,5,10,1491.0
2003,3,5,11,1485.0
2003,3,5,12,1482.0
2003,3,5,13,1477.0
2003,3,5,14,1473.0
2003,3,5,15,1480.0
2003,3,5,16,1529.0
2003,3,5,17,1619.0
2003,3,5,18,1639.0
2003,3,5,19,1585.0
2003,3,5,20,1494.0
2003,3,5,21,1373.0
2003,3,5,22,1233.0
2003,3,5,23,1140.0
2003,3,6,0,1082.0
2003,3,6,1,1053.0
2003,3,6,2,1043.0
2003,3,6,3,1055.0
2003,3,6,4,1100.0
2003,3,6,5,1232.0
2003,3,6,6,1402.0
2003,3,6,7,1477.0
2003,3,6,8,1484.0
2003,3,6,9,1483.0
2003,3,6,10,1496.0
2003,3,6,11,1490.0
2003,3,6,12,1483.0
2003,3,6,13,1478.0
2003,3,6,14,1469.0
2003,3,6,15,1467.0
2003,3,6,16,1505.0
2003,3,6,17,1592.0
2003,3,6,18,1662.0
2003,3,6,19,1628.0
2003,3,6,20,1563.0
2003,3,6,21,1451.0
2003,3,6,22,1325.0
2003,3,6,23,1210.0
2003,3,7,0,1158.0
2003,3,7,1,1133.0
2003,3,7,2,1127.0
2003,3,7,3,1129.0
2003,3,7,4,1170.0
2003,3,7,5,1301.0
2003,3,7,6,1484.0
2003,3,7,7,1553.0
2003,3,7,8,1549.0
2003,3,7,9,1533.0
2003,3,7,10,1514.0
2003,3,7,11,1516.0
2003,3,7,12,1500.0
2003,3,7,13,1515.0
2003,3,7,14,1487.0
2003,3,7,15,1479.0
2003,3,7,16,1516.0
2003,3,7,17,1589.0
2003,3,7,18,1594.0
2003,3,7,19,1548.0
2003,3,7,20,1480.0
2003,3,7,21,1391.0
2003,3,7,22,1280.0
2003,3,7,23,1179.0
2003,3,8,0,1101.0
2003,3,8,1,1054.0
2003,3,8,2,1036.0
2003,3,8,3,1029.0
2003,3,8,4,1045.0
2003,3,8,5,1097.0
2003,3,8,6,1171.0
2003,3,8,7,1272.0
2003,3,8,8,1361.0
2003,3,8,9,1384.0
2003,3,8,10,1371.0
2003,3,8,11,1324.0
2003,3,8,12,1281.0
2003,3,8,13,1246.0
2003,3,8,14,1227.0
2003,3,8,15,1229.0
2003,3,8,16,1264.0
2003,3,8,17,1369.0
2003,3,8,18,1448.0
2003,3,8,19,1407.0
2003,3,8,20,1344.0
2003,3,8,21,1265.0
2003,3,8,22,1172.0
2003,3,8,23,1074.0
2003,3,9,0,1011.0
2003,3,9,1,987.0
2003,3,9,2,987.0
2003,3,9,3,979.0
2003,3,9,4,986.0
2003,3,9,5,1015.0
2003,3,9,6,1066.0
2003,3,9,7,1167.0
2003,3,9,8,1267.0
2003,3,9,9,1335.0
2003,3,9,10,1365.0
2003,3,9,11,1365.0
2003,3,9,12,1344.0
2003,3,9,13,1303.0
2003,3,9,14,1276.0
2003,3,9,15,1282.0
2003,3,9,16,1329.0
2003,3,9,17,1453.0
2003,3,9,18,1547.0
2003,3,9,19,1515.0
2003,3,9,20,1451.0
2003,3,9,21,1334.0
2003,3,9,22,1218.0
2003,3,9,23,1146.0
2003,3,10,0,1099.0
2003,3,10,1,1081.0
2003,3,10,2,1078.0
2003,3,10,3,1086.0
2003,3,10,4,1131.0
2003,3,10,5,1268.0
2003,3,10,6,1457.0
2003,3,10,7,1522.0
2003,3,10,8,1535.0
2003,3,10,9,1543.0
2003,3,10,10,1531.0
2003,3,10,11,1507.0
2003,3,10,12,1491.0
2003,3,10,13,1475.0
2003,3,10,14,1457.0
2003,3,10,15,1458.0
2003,3,10,16,1488.0
2003,3,10,17,1587.0
2003,3,10,18,1677.0
2003,3,10,19,1631.0
2003,3,10,20,1554.0
2003,3,10,21,1433.0
2003,3,10,22,1316.0
2003,3,10,23,1221.0
2003,3,11,0,1175.0
2003,3,11,1,1141.0
2003,3,11,2,1140.0
2003,3,11,3,1136.0
2003,3,11,4,1184.0
2003,3,11,5,1312.0
2003,3,11,6,1484.0
2003,3,11,7,1539.0
2003,3,11,8,1530.0
2003,3,11,9,1507.0
2003,3,11,10,1503.0
2003,3,11,11,1473.0
2003,3,11,12,1448.0
2003,3,11,13,1434.0
2003,3,11,14,1424.0
2003,3,11,15,1425.0
2003,3,11,16,1475.0
2003,3,11,17,1568.0
2003,3,11,18,1629.0
2003,3,11,19,1575.0
2003,3,11,20,1494.0
2003,3,11,21,1373.0
2003,3,11,22,1247.0
2003,3,11,23,1161.0
2003,3,12,0,1100.0
2003,3,12,1,1076.0
2003,3,12,2,1059.0
2003,3,12,3,1058.0
2003,3,12,4,1105.0
2003,3,12,5,1230.0
2003,3,12,6,1415.0
2003,3,12,7,1490.0
2003,3,12,8,1483.0
2003,3,12,9,1465.0
2003,3,12,10,1458.0
2003,3,12,11,1425.0
2003,3,12,12,1400.0
2003,3,12,13,1375.0
2003,3,12,14,1369.0
2003,3,12,15,1380.0
2003,3,12,16,1412.0
2003,3,12,17,1485.0
2003,3,12,18,1569.0
2003,3,12,19,1538.0
2003,3,12,20,1469.0
2003,3,12,21,1358.0
2003,3,12,22,1222.0
2003,3,12,23,1121.0
2003,3,13,0,1063.0
2003,3,13,1,1044.0
2003,3,13,2,1030.0
2003,3,13,3,1040.0
2003,3,13,4,1091.0
2003,3,13,5,1224.0
2003,3,13,6,1412.0
2003,3,13,7,1491.0
2003,3,13,8,1493.0
2003,3,13,9,1493.0
2003,3,13,10,1481.0
2003,3,13,11,1507.0
2003,3,13,12,1459.0
2003,3,13,13,1449.0
2003,3,13,14,1444.0
2003,3,13,15,1452.0
2003,3,13,16,1492.0
2003,3,13,17,1568.0
2003,3,13,18,1642.0
2003,3,13,19,1606.0
2003,3,13,20,1522.0
2003,3,13,21,1411.0
2003,3,13,22,1288.0
2003,3,13,23,1195.0
2003,3,14,0,1144.0
2003,3,14,1,1125.0
2003,3,14,2,1116.0
2003,3,14,3,1117.0
2003,3,14,4,1151.0
2003,3,14,5,1279.0
2003,3,14,6,1445.0
2003,3,14,7,1509.0
2003,3,14,8,1509.0
2003,3,14,9,1509.0
2003,3,14,10,1526.0
2003,3,14,11,1510.0
2003,3,14,12,1477.0
2003,3,14,13,1460.0
2003,3,14,14,1428.0
2003,3,14,15,1397.0
2003,3,14,16,1420.0
2003,3,14,17,1481.0
2003,3,14,18,1578.0
2003,3,14,19,1548.0
2003,3,14,20,1481.0
2003,3,14,21,1390.0
2003,3,14,22,1287.0
2003,3,14,23,1195.0
2003,3,15,0,1121.0
2003,3,15,1,1093.0
2003,3,15,2,1079.0
2003,3,15,3,1081.0
2003,3,15,4,1097.0
2003,3,15,5,1141.0
2003,3,15,6,1216.0
2003,3,15,7,1330.0
2003,3,15,8,1421.0
2003,3,15,9,1469.0
2003,3,15,10,1458.0
2003,3,15,11,1417.0
2003,3,15,12,1364.0
