Year,Month,Day,Hour,Load
2003,3,1,0,2574.0
2003,3,1,1,2477.0
2003,3,1,2,2426.0
2003,3,1,3,2420.0
2003,3,1,4,2426.0
2003,3,1,5,2496.0
2003,3,1,6,2602.0
2003,3,1,7,2759.0
2003,3,1,8,2930.0
2003,3,1,9,3000.0
2003,3,1,10,3008.0
2003,3,1,11,2984.0
2003,3,1,12,2935.0
2003,3,1,13,2854.0
2003,3,1,14,2807.0
2003,3,1,15,2781.0
2003,3,1,16,2835.0
2003,3,1,17,3027.0
2003,3,1,18,3168.0
2003,3,1,19,3117.0
2003,3,1,20,3022.0
2003,3,1,21,2910.0
2003,3,1,22,2754.0
2003,3,1,23,2567.0
2003,3,2,0,2407.0
2003,3,2,1,2310.0
2003,3,2,2,2255.0
2003,3,2,3,2227.0
2003,3,2,4,2221.0
2003,3,2,5,2259.0
2003,3,2,6,2312.0
2003,3,2,7,2421.0
2003,3,2,8,2594.0
2003,3,2,9,2756.0
2003,3,2,10,2880.0
2003,3,2,11,2964.0
2003,3,2,12,3004.0
2003,3,2,13,2988.0
2003,3,2,14,3000.0
2003,3,2,15,2991.0
2003,3,2,16,3073.0
2003,3,2,17,3219.0
2003,3,2,18,3301.0
2003,3,2,19,3245.0
2003,3,2,20,3139.0
2003,3,2,21,2971.0
2003,3,2,22,2746.0
2003,3,2,23,2525.0
2003,3,3,0,2377.0
2003,3,3,1,2300.0
2003,3,3,2,2275.0
2003,3,3,3,2292.0
2003,3,3,4,2387.0
2003,3,3,5,2628.0
2003,3,3,6,3025.0
2003,3,3,7,3323.0
2003,3,3,8,3461.0
2003,3,3,9,3525.0
2003,3,3,10,3539.0
2003,3,3,11,3572.0
2003,3,3,12,3557.0
2003,3,3,13,3532.0
2003,3,3,14,3486.0
2003,3,3,15,3474.0
2003,3,3,16,3530.0
2003,3,3,17,3685.0
2003,3,3,18,3853.0
2003,3,3,19,3820.0
2003,3,3,20,3698.0
2003,3,3,21,3509.0
2003,3,3,22,3245.0
2003,3,3,23,2972.0
2003,3,4,0,2803.0
2003,3,4,1,2726.0
2003,3,4,2,2703.0
2003,3,4,3,2711.0
2003,3,4,4,2766.0
2003,3,4,5,2967.0
2003,3,4,6,3310.0
2003,3,4,7,3562.0
2003,3,4,8,3608.0
2003,3,4,9,3609.0
2003,3,4,10,3582.0
