Year,Month,Day,Hour,Load
2003,3,1,0,1055.0
2003,3,1,1,1017.0
2003,3,1,2,1000.0
2003,3,1,3,997.0
2003,3,1,4,1010.0
2003,3,1,5,1050.0
2003,3,1,6,1121.0
2003,3,1,7,1217.0
2003,3,1,8,1310.0
2003,3,1,9,1352.0
2003,3,1,10,1347.0
2003,3,1,11,1315.0
2003,3,1,12,1278.0
2003,3,1,13,1242.0
2003,3,1,14,1215.0
2003,3,1,15,1208.0
2003,3,1,16,1243.0
2003,3,1,17,1340.0
2003,3,1,18,1417.0
2003,3,1,19,1380.0
2003,3,1,20,1322.0
2003,3,1,21,1240.0
2003,3,1,22,1138.0
2003,3,1,23,1038.0
2003,3,2,0,963.0
2003,3,2,1,924.0
2003,3,2,2,904.0
2003,3,2,3,887.0
2003,3,2,4,889.0
2003,3,2,5,914.0
2003,3,2,6,963.0
2003,3,2,7,1048.0
2003,3,2,8,1165.0
2003,3,2,9,1259.0
2003,3,2,10,1313.0
2003,3,2,11,1351.0
2003,3,2,12,1361.0
2003,3,2,13,1349.0
2003,3,2,14,1331.0
2003,3,2,15,1316.0
2003,3,2,16,1352.0
2003,3,2,17,1447.0
2003,3,2,18,1486.0
2003,3,2,19,1434.0
2003,3,2,20,1353.0
2003,3,2,21,1235.0
2003,3,2,22,1108.0
2003,3,2,23,1004.0
2003,3,3,0,946.0
2003,3,3,1,923.0
2003,3,3,2,920.0
2003,3,3,3,937.0
2003,3,3,4,990.0
2003,3,3,5,1143.0
2003,3,3,6,1374.0
2003,3,3,7,1501.0
2003,3,3,8,1532.0
2003,3,3,9,1550.0
2003,3,3,10,1565.0
2003,3,3,11,1563.0
2003,3,3,12,1548.0
2003,3,3,13,1531.0
2003,3,3,14,1503.0
2003,3,3,15,1498.0
2003,3,3,16,1532.0
2003,3,3,17,1643.0
2003,3,3,18,1743.0
2003,3,3,19,1726.0
2003,3,3,20,1638.0
2003,3,3,21,1513.0
2003,3,3,22,1371.0
2003,3,3,23,1251.0
2003,3,4,0,1161.0
2003,3,4,1,1133.0
2003,3,4,2,1123.0
2003,3,4,3,1129.0
2003,3,4,4,1172.0
2003,3,4,5,1297.0
2003,3,4,6,1498.0
2003,3,4,7,1588.0
2003,3,4,8,1592.0
2003,3,4,9,1586.0
2003,3,4,10,1566.0
2003,3,4,11,1540.0
2003,3,4,12,1496.0
2003,3,4,13,1473.0
2003,3,4,14,1445.0
2003,3,4,15,1444.0
2003,3,4,16,1472.0
2003,3,4,17,1567.0
2003,3,4,18,1655.0
2003,3,4,19,1615.0
2003,3,4,20,1542.0
2003,3,4,21,1416.0
2003,3,4,22,1254.0
2003,3,4,23,1122.0
2003,3,5,0,1042.0
2003,3,5,1,1004.0
2003,3,5,2,986.0
2003,3,5,3,986.0
2003,3,5,4,1020.0
2003,3,5,5,1137.0
2003,3,5,6,1343.0
2003,3,5,7,1444.0
2003,3,5,8,1453.0
2003,3,5,9,1460.0
2003,3,5,10,1478.0
2003,3,5,11,1477.0
2003,3,5,12,1459.0
2003,3,5,13,1457.0
2003,3,5,14,1443.0
2003,3,5,15,1451.0
2003,3,5,16,1494.0
2003,3,5,17,1573.0
2003,3,5,18,1610.0
2003,3,5,19,1557.0
2003,3,5,20,1469.0
2003,3,5,21,1355.0
2003,3,5,22,1199.0
2003,3,5,23,1072.0
2003,3,6,0,998.0
2003,3,6,1,970.0
2003,3,6,2,960.0
2003,3,6,3,967.0
2003,3,6,4,1007.0
2003,3,6,5,1133.0
2003,3,6,6,1341.0
2003,3,6,7,1451.0
2003,3,6,8,1470.0
2003,3,6,9,1480.0
2003,3,6,10,1500.0
2003,3,6,11,1504.0
2003,3,6,12,1496.0
2003,3,6,13,1503.0
2003,3,6,14,1488.0
2003,3,6,15,1488.0
2003,3,6,16,1521.0
2003,3,6,17,1602.0
2003,3,6,18,1684.0
2003,3,6,19,1660.0
2003,3,6,20,1582.0
2003,3,6,21,1463.0
2003,3,6,22,1316.0
2003,3,6,23,1185.0
2003,3,7,0,1113.0
2003,3,7,1,1081.0
2003,3,7,2,1075.0
2003,3,7,3,1086.0
2003,3,7,4,1131.0
2003,3,7,5,1256.0
2003,3,7,6,1458.0
2003,3,7,7,1546.0
2003,3,7,8,1543.0
2003,3,7,9,1527.0
2003,3,7,10,1517.0
2003,3,7,11,1488.0
2003,3,7,12,1451.0
2003,3,7,13,1428.0
2003,3,7,14,1394.0
2003,3,7,15,1381.0
2003,3,7,16,1396.0
2003,3,7,17,1476.0
2003,3,7,18,1567.0
2003,3,7,19,1532.0
2003,3,7,20,1470.0
2003,3,7,21,1383.0
2003,3,7,22,1267.0
2003,3,7,23,1143.0
2003,3,8,0,1055.0
2003,3,8,1,1006.0
2003,3,8,2,982.0
2003,3,8,3,974.0
2003,3,8,4,984.0
2003,3,8,5,1029.0
2003,3,8,6,1095.0
2003,3,8,7,1197.0
2003,3,8,8,1288.0
2003,3,8,9,1329.0
2003,3,8,10,1329.0
2003,3,8,11,1300.0
2003,3,8,12,1256.0
2003,3,8,13,1214.0
2003,3,8,14,1184.0
2003,3,8,15,1174.0
2003,3,8,16,1202.0
2003,3,8,17,1300.0
2003,3,8,18,1400.0
2003,3,8,19,1371.0
2003,3,8,20,1308.0
2003,3,8,21,1232.0
2003,3,8,22,1129.0
2003,3,8,23,1023.0
2003,3,9,0,945.0
2003,3,9,1,905.0
2003,3,9,2,882.0
2003,3,9,3,871.0
2003,3,9,4,878.0
2003,3,9,5,902.0
2003,3,9,6,948.0
2003,3,9,7,1039.0
2003,3,9,8,1146.0
2003,3,9,9,1223.0
2003,3,9,10,1250.0
2003,3,9,11,1254.0
2003,3,9,12,1246.0
2003,3,9,13,1226.0
2003,3,9,14,1206.0
2003,3,9,15,1213.0
2003,3,9,16,1255.0
2003,3,9,17,1369.0
2003,3,9,18,1488.0
2003,3,9,19,1471.0
2003,3,9,20,1405.0
2003,3,9,21,1300.0
2003,3,9,22,1174.0
2003,3,9,23,1079.0
2003,3,10,0,1020.0
2003,3,10,1,1002.0
2003,3,10,2,996.0
2003,3,10,3,1008.0
2003,3,10,4,1065.0
2003,3,10,5,1196.0
2003,3,10,6,1400.0
2003,3,10,7,1505.0
2003,3,10,8,1518.0
2003,3,10,9,1520.0
2003,3,10,10,1534.0
2003,3,10,11,1533.0
2003,3,10,12,1511.0
2003,3,10,13,1505.0
2003,3,10,14,1484.0
2003,3,10,15,1474.0
2003,3,10,16,1499.0
2003,3,10,17,1595.0
2003,3,10,18,1697.0
2003,3,10,19,1668.0
2003,3,10,20,1590.0
2003,3,10,21,1466.0
2003,3,10,22,1313.0
2003,3,10,23,1187.0
2003,3,11,0,1166.0
2003,3,11,1,1170.0
2003,3,11,2,1175.0
2003,3,11,3,1182.0
2003,3,11,4,1213.0
2003,3,11,5,1320.0
2003,3,11,6,1559.0
2003,3,11,7,1605.0
2003,3,11,8,1560.0
2003,3,11,9,1563.0
2003,3,11,10,1559.0
2003,3,11,11,1549.0
2003,3,11,12,1535.0
2003,3,11,13,1524.0
2003,3,11,14,1507.0
2003,3,11,15,1502.0
2003,3,11,16,1549.0
2003,3,11,17,1631.0
2003,3,11,18,1762.0
2003,3,11,19,1758.0
2003,3,11,20,1633.0
2003,3,11,21,1498.0
2003,3,11,22,1391.0
2003,3,11,23,1260.0
2003,3,12,0,1147.0
2003,3,12,1,1116.0
2003,3,12,2,1114.0
2003,3,12,3,1113.0
2003,3,12,4,1128.0
2003,3,12,5,1236.0
2003,3,12,6,1475.0
2003,3,12,7,1500.0
2003,3,12,8,1494.0
2003,3,12,9,1495.0
2003,3,12,10,1488.0
2003,3,12,11,1474.0
2003,3,12,12,1470.0
2003,3,12,13,1439.0
2003,3,12,14,1444.0
2003,3,12,15,1444.0
2003,3,12,16,1455.0
2003,3,12,17,1537.0
2003,3,12,18,1639.0
2003,3,12,19,1604.0
2003,3,12,20,1516.0
2003,3,12,21,1436.0
2003,3,12,22,1324.0
2003,3,12,23,1210.0
2003,3,13,0,1077.0
2003,3,13,1,1042.0
2003,3,13,2,1041.0
2003,3,13,3,1048.0
2003,3,13,4,1073.0
2003,3,13,5,1182.0
2003,3,13,6,1422.0
2003,3,13,7,1464.0
2003,3,13,8,1489.0
2003,3,13,9,1502.0
2003,3,13,10,1521.0
2003,3,13,11,1511.0
2003,3,13,12,1505.0
2003,3,13,13,1503.0
2003,3,13,14,1501.0
2003,3,13,15,1524.0
2003,3,13,16,1579.0
2003,3,13,17,1659.0
2003,3,13,18,1713.0
2003,3,13,19,1696.0
2003,3,13,20,1598.0
2003,3,13,21,1476.0
2003,3,13,22,1370.0
2003,3,13,23,1312.0
2003,3,14,0,1199.0
2003,3,14,1,1165.0
2003,3,14,2,1159.0
2003,3,14,3,1157.0
2003,3,14,4,1182.0
2003,3,14,5,1274.0
2003,3,14,6,1454.0
2003,3,14,7,1510.0
2003,3,14,8,1536.0
2003,3,14,9,1551.0
2003,3,14,10,1559.0
2003,3,14,11,1543.0
2003,3,14,12,1516.0
2003,3,14,13,1477.0
2003,3,14,14,1465.0
2003,3,14,15,1478.0
2003,3,14,16,1469.0
2003,3,14,17,1503.0
2003,3,14,18,1588.0
2003,3,14,19,1565.0
2003,3,14,20,1509.0
2003,3,14,21,1413.0
2003,3,14,22,1319.0
2003,3,14,23,1151.0
2003,3,15,0,1074.0
2003,3,15,1,1062.0
2003,3,15,2,1043.0
2003,3,15,3,1042.0
2003,3,15,4,1042.0
2003,3,15,5,1078.0
2003,3,15,6,1109.0
2003,3,15,7,1231.0
2003,3,15,8,1375.0
2003,3,15,9,1417.0
2003,3,15,10,1441.0
2003,3,15,11,1414.0
2003,3,15,12,1388.0
2003,3,15,13,1357.0
2003,3,15,14,1325.0
2003,3,15,15,1321.0
2003,3,15,16,1316.0
2003,3,15,17,1385.0
2003,3,15,18,1478.0
2003,3,15,19,1457.0
2003,3,15,20,1402.0
2003,3,15,21,1316.0
