Year,Month,Day,Hour,Load
2003,3,1,0,791.0
2003,3,1,1,760.0
2003,3,1,2,741.0
2003,3,1,3,737.0
2003,3,1,4,740.0
2003,3,1,5,763.0
2003,3,1,6,795.0
2003,3,1,7,861.0
2003,3,1,8,928.0
2003,3,1,9,962.0
2003,3,1,10,975.0
2003,3,1,11,968.0
2003,3,1,12,939.0
2003,3,1,13,912.0
2003,3,1,14,887.0
2003,3,1,15,879.0
2003,3,1,16,913.0
2003,3,1,17,979.0
2003,3,1,18,1028.0
2003,3,1,19,999.0
2003,3,1,20,973.0
2003,3,1,21,927.0
2003,3,1,22,862.0
2003,3,1,23,794.0
2003,3,2,0,737.0
2003,3,2,1,703.0
2003,3,2,2,680.0
2003,3,2,3,665.0
2003,3,2,4,662.0
2003,3,2,5,675.0
2003,3,2,6,687.0
2003,3,2,7,733.0
2003,3,2,8,804.0
2003,3,2,9,872.0
2003,3,2,10,919.0
2003,3,2,11,945.0
2003,3,2,12,959.0
2003,3,2,13,945.0
2003,3,2,14,942.0
2003,3,2,15,938.0
2003,3,2,16,968.0
2003,3,2,17,1005.0
2003,3,2,18,1047.0
2003,3,2,19,1029.0
2003,3,2,20,986.0
2003,3,2,21,921.0
2003,3,2,22,837.0
2003,3,2,23,763.0
2003,3,3,0,716.0
2003,3,3,1,689.0
2003,3,3,2,683.0
2003,3,3,3,691.0
2003,3,3,4,717.0
2003,3,3,5,804.0
2003,3,3,6,937.0
2003,3,3,7,1048.0
2003,3,3,8,1099.0
2003,3,3,9,1128.0
2003,3,3,10,1145.0
2003,3,3,11,1139.0
2003,3,3,12,1125.0
2003,3,3,13,1111.0
2003,3,3,14,1092.0
2003,3,3,15,1077.0
2003,3,3,16,1097.0
2003,3,3,17,1166.0
2003,3,3,18,1253.0
2003,3,3,19,1236.0
2003,3,3,20,1196.0
2003,3,3,21,1122.0
2003,3,3,22,1013.0
2003,3,3,23,911.0
2003,3,4,0,853.0
2003,3,4,1,826.0
2003,3,4,2,811.0
2003,3,4,3,813.0
2003,3,4,4,829.0
2003,3,4,5,900.0
2003,3,4,6,1015.0
2003,3,4,7,1110.0
2003,3,4,8,1139.0
2003,3,4,9,1144.0
2003,3,4,10,1141.0
2003,3,4,11,1124.0
2003,3,4,12,1100.0
2003,3,4,13,1082.0
2003,3,4,14,1061.0
2003,3,4,15,1039.0
2003,3,4,16,1055.0
2003,3,4,17,1116.0
2003,3,4,18,1195.0
2003,3,4,19,1174.0
2003,3,4,20,1121.0
2003,3,4,21,1047.0
2003,3,4,22,936.0
2003,3,4,23,834.0
2003,3,5,0,771.0
2003,3,5,1,738.0
2003,3,5,2,723.0
2003,3,5,3,713.0
2003,3,5,4,727.0
2003,3,5,5,785.0
2003,3,5,6,914.0
2003,3,5,7,1017.0
2003,3,5,8,1055.0
2003,3,5,9,1065.0
2003,3,5,10,1071.0
2003,3,5,11,1068.0
2003,3,5,12,1060.0
2003,3,5,13,1050.0
2003,3,5,14,1039.0
2003,3,5,15,1035.0
2003,3,5,16,1053.0
2003,3,5,17,1102.0
2003,3,5,18,1143.0
2003,3,5,19,1113.0
2003,3,5,20,1066.0
2003,3,5,21,1001.0
2003,3,5,22,890.0
