Year,Month,Day,Hour,Load
2003,3,1,0,1484.0
2003,3,1,1,1432.0
2003,3,1,2,1407.0
2003,3,1,3,1401.0
2003,3,1,4,1419.0
2003,3,1,5,1471.0
2003,3,1,6,1557.0
2003,3,1,7,1674.0
2003,3,1,8,1798.0
2003,3,1,9,1836.0
2003,3,1,10,1839.0
2003,3,1,11,1812.0
2003,3,1,12,1753.0
2003,3,1,13,1694.0
2003,3,1,14,1656.0
2003,3,1,15,1643.0
2003,3,1,16,1694.0
2003,3,1,17,1856.0
2003,3,1,18,1962.0
2003,3,1,19,1925.0
2003,3,1,20,1841.0
2003,3,1,21,1747.0
2003,3,1,22,1610.0
2003,3,1,23,1469.0
2003,3,2,0,1357.0
2003,3,2,1,1291.0
2003,3,2,2,1256.0
2003,3,2,3,1236.0
2003,3,2,4,1239.0
2003,3,2,5,1268.0
2003,3,2,6,1314.0
2003,3,2,7,1399.0
2003,3,2,8,1553.0
2003,3,2,9,1675.0
2003,3,2,10,1752.0
2003,3,2,11,1802.0
2003,3,2,12,1815.0
2003,3,2,13,1794.0
2003,3,2,14,1775.0
2003,3,2,15,1786.0
2003,3,2,16,1860.0
2003,3,2,17,1954.0
2003,3,2,18,2009.0
2003,3,2,19,1956.0
2003,3,2,20,1866.0
2003,3,2,21,1727.0
2003,3,2,22,1553.0
2003,3,2,23,1409.0
2003,3,3,0,1324.0
2003,3,3,1,1287.0
2003,3,3,2,1274.0
2003,3,3,3,1283.0
2003,3,3,4,1350.0
2003,3,3,5,1521.0
2003,3,3,6,1784.0
2003,3,3,7,1958.0
2003,3,3,8,2017.0
2003,3,3,9,2041.0
2003,3,3,10,2067.0
2003,3,3,11,2063.0
2003,3,3,12,2040.0
2003,3,3,13,2018.0
2003,3,3,14,1985.0
2003,3,3,15,1978.0
2003,3,3,16,2041.0
2003,3,3,17,2200.0
2003,3,3,18,2368.0
2003,3,3,19,2341.0
2003,3,3,20,2257.0
2003,3,3,21,2103.0
2003,3,3,22,1894.0
2003,3,3,23,1709.0
2003,3,4,0,1605.0
2003,3,4,1,1554.0
2003,3,4,2,1538.0
2003,3,4,3,1550.0
2003,3,4,4,1589.0
2003,3,4,5,1733.0
2003,3,4,6,1986.0
2003,3,4,7,2124.0
2003,3,4,8,2144.0
2003,3,4,9,2128.0
2003,3,4,10,2102.0
2003,3,4,11,2064.0
2003,3,4,12,2011.0
2003,3,4,13,1971.0
2003,3,4,14,1926.0
2003,3,4,15,1922.0
2003,3,4,16,1957.0
2003,3,4,17,2099.0
2003,3,4,18,2243.0
2003,3,4,19,2213.0
2003,3,4,20,2125.0
2003,3,4,21,1955.0
2003,3,4,22,1747.0
2003,3,4,23,1554.0
2003,3,5,0,1440.0
2003,3,5,1,1385.0
2003,3,5,2,1353.0
2003,3,5,3,1342.0
2003,3,5,4,1372.0
2003,3,5,5,1499.0
2003,3,5,6,1757.0
2003,3,5,7,1911.0
2003,3,5,8,1949.0
2003,3,5,9,1954.0
2003,3,5,10,1950.0
2003,3,5,11,1949.0
2003,3,5,12,1916.0
2003,3,5,13,1907.0
2003,3,5,14,1877.0
2003,3,5,15,1881.0
2003,3,5,16,1936.0
2003,3,5,17,2050.0
2003,3,5,18,2135.0
2003,3,5,19,2085.0
2003,3,5,20,1998.0
2003,3,5,21,1846.0
2003,3,5,22,1637.0
2003,3,5,23,1462.0
2003,3,6,0,1348.0
2003,3,6,1,1292.0
2003,3,6,2,1276.0
2003,3,6,3,1270.0
2003,3,6,4,1309.0
2003,3,6,5,1457.0
2003,3,6,6,1725.0
2003,3,6,7,1913.0
2003,3,6,8,1966.0
2003,3,6,9,1991.0
2003,3,6,10,2021.0
2003,3,6,11,2038.0
2003,3,6,12,2035.0
2003,3,6,13,2044.0
2003,3,6,14,2014.0
2003,3,6,15,2010.0
2003,3,6,16,2074.0
2003,3,6,17,2235.0
