Year,Month,Day,Hour,Load
2003,3,1,0,12864.0
2003,3,1,1,12389.0
2003,3,1,2,12155.0
2003,3,1,3,12072.0
2003,3,1,4,12162.0
2003,3,1,5,12569.0
2003,3,1,6,13238.0
2003,3,1,7,14191.0
2003,3,1,8,15213.0
2003,3,1,9,15646.0
2003,3,1,10,15653.0
2003,3,1,11,15417.0
2003,3,1,12,14993.0
2003,3,1,13,14581.0
2003,3,1,14,14335.0
2003,3,1,15,14269.0
2003,3,1,16,14685.0
2003,3,1,17,15681.0
2003,3,1,18,16386.0
2003,3,1,19,16019.0
2003,3,1,20,15478.0
2003,3,1,21,14754.0
2003,3,1,22,13758.0
2003,3,1,23,12706.0
2003,3,2,0,11862.0
2003,3,2,1,11374.0
2003,3,2,2,11085.0
2003,3,2,3,10905.0
2003,3,2,4,10930.0
2003,3,2,5,11167.0
2003,3,2,6,11603.0
2003,3,2,7,12347.0
2003,3,2,8,13500.0
2003,3,2,9,14439.0
2003,3,2,10,15057.0
2003,3,2,11,15407.0
2003,3,2,12,15513.0
2003,3,2,13,15330.0
2003,3,2,14,15193.0
2003,3,2,15,15177.0
2003,3,2,16,15573.0
2003,3,2,17,16281.0
2003,3,2,18,16842.0
2003,3,2,19,16503.0
2003,3,2,20,15815.0
2003,3,2,21,14745.0
2003,3,2,22,13444.0
2003,3,2,23,12350.0
2003,3,3,0,11657.0
2003,3,3,1,11357.0
2003,3,3,2,11315.0
2003,3,3,3,11512.0
2003,3,3,4,12069.0
2003,3,3,5,13524.0
2003,3,3,6,15851.0
2003,3,3,7,17341.0
2003,3,3,8,17838.0
2003,3,3,9,18049.0
2003,3,3,10,18191.0
2003,3,3,11,18169.0
2003,3,3,12,17991.0
2003,3,3,13,17783.0
2003,3,3,14,17488.0
2003,3,3,15,17374.0
2003,3,3,16,17763.0
2003,3,3,17,18849.0
2003,3,3,18,19997.0
2003,3,3,19,19764.0
2003,3,3,20,19090.0
2003,3,3,21,17930.0
2003,3,3,22,16417.0
2003,3,3,23,15059.0
2003,3,4,0,14222.0
2003,3,4,1,13868.0
2003,3,4,2,13749.0
2003,3,4,3,13802.0
2003,3,4,4,14133.0
2003,3,4,5,15286.0
2003,3,4,6,17308.0
2003,3,4,7,18494.0
2003,3,4,8,18620.0
2003,3,4,9,18461.0
2003,3,4,10,18239.0
2003,3,4,11,17933.0
2003,3,4,12,17506.0
2003,3,4,13,17241.0
2003,3,4,14,16848.0
2003,3,4,15,16694.0
2003,3,4,16,16961.0
2003,3,4,17,17905.0
2003,3,4,18,18907.0
2003,3,4,19,18578.0
2003,3,4,20,17858.0
2003,3,4,21,16623.0
2003,3,4,22,14997.0
2003,3,4,23,13581.0
2003,3,5,0,12637.0
2003,3,5,1,12184.0
2003,3,5,2,11959.0
2003,3,5,3,11885.0
2003,3,5,4,12151.0
2003,3,5,5,13255.0
2003,3,5,6,15274.0
2003,3,5,7,16536.0
2003,3,5,8,16874.0
2003,3,5,9,16941.0
2003,3,5,10,16985.0
2003,3,5,11,16918.0
2003,3,5,12,16720.0
2003,3,5,13,16645.0
2003,3,5,14,16425.0
2003,3,5,15,16381.0
2003,3,5,16,16743.0
2003,3,5,17,17506.0
2003,3,5,18,18090.0
2003,3,5,19,17648.0
2003,3,5,20,16898.0
2003,3,5,21,15766.0
2003,3,5,22,14153.0
2003,3,5,23,12823.0
2003,3,6,0,11971.0
2003,3,6,1,11603.0
2003,3,6,2,11453.0
2003,3,6,3,11466.0
2003,3,6,4,11813.0
2003,3,6,5,13033.0
2003,3,6,6,15163.0
2003,3,6,7,16544.0
2003,3,6,8,17028.0
2003,3,6,9,17274.0
2003,3,6,10,17543.0
2003,3,6,11,17709.0
2003,3,6,12,17731.0
2003,3,6,13,17737.0
2003,3,6,14,17504.0
2003,3,6,15,17371.0
2003,3,6,16,17657.0
2003,3,6,17,18590.0
2003,3,6,18,19482.0
2003,3,6,19,19127.0
2003,3,6,20,18275.0
2003,3,6,21,17118.0
2003,3,6,22,15609.0
2003,3,6,23,14287.0
2003,3,7,0,13518.0
2003,3,7,1,13180.0
2003,3,7,2,13068.0
2003,3,7,3,13139.0
2003,3,7,4,13533.0
2003,3,7,5,14743.0
2003,3,7,6,16677.0
2003,3,7,7,17764.0
2003,3,7,8,17898.0
2003,3,7,9,17748.0
2003,3,7,10,17572.0
2003,3,7,11,17343.0
2003,3,7,12,16966.0
2003,3,7,13,16768.0
2003,3,7,14,16421.0
2003,3,7,15,16295.0
2003,3,7,16,16520.0
2003,3,7,17,17287.0
2003,3,7,18,18162.0
2003,3,7,19,17789.0
2003,3,7,20,17138.0
2003,3,7,21,16260.0
2003,3,7,22,15038.0
2003,3,7,23,13741.0
2003,3,8,0,12787.0
2003,3,8,1,12251.0
2003,3,8,2,11974.0
2003,3,8,3,11826.0
2003,3,8,4,11882.0
2003,3,8,5,12309.0
2003,3,8,6,12933.0
2003,3,8,7,13875.0
2003,3,8,8,14745.0
2003,3,8,9,15158.0
2003,3,8,10,15127.0
2003,3,8,11,14873.0
2003,3,8,12,14431.0
2003,3,8,13,14009.0
2003,3,8,14,13680.0
2003,3,8,15,13571.0
2003,3,8,16,13848.0
2003,3,8,17,14798.0
2003,3,8,18,15974.0
2003,3,8,19,15696.0
2003,3,8,20,15188.0
