Year,Month,Day,Hour,Load
2003,3,1,0,608.0
2003,3,1,1,587.0
2003,3,1,2,578.0
2003,3,1,3,570.0
2003,3,1,4,574.0
2003,3,1,5,597.0
2003,3,1,6,637.0
2003,3,1,7,690.0
2003,3,1,8,749.0
2003,3,1,9,764.0
2003,3,1,10,759.0
2003,3,1,11,759.0
2003,3,1,12,737.0
2003,3,1,13,706.0
2003,3,1,14,694.0
2003,3,1,15,691.0
2003,3,1,16,702.0
2003,3,1,17,742.0
2003,3,1,18,781.0
2003,3,1,19,762.0
2003,3,1,20,743.0
2003,3,1,21,710.0
2003,3,1,22,651.0
2003,3,1,23,591.0
2003,3,2,0,558.0
2003,3,2,1,537.0
2003,3,2,2,527.0
2003,3,2,3,520.0
2003,3,2,4,524.0
2003,3,2,5,541.0
2003,3,2,6,572.0
2003,3,2,7,623.0
2003,3,2,8,700.0
2003,3,2,9,736.0
2003,3,2,10,756.0
2003,3,2,11,763.0
2003,3,2,12,760.0
2003,3,2,13,743.0
2003,3,2,14,724.0
2003,3,2,15,714.0
2003,3,2,16,728.0
2003,3,2,17,758.0
2003,3,2,18,788.0
2003,3,2,19,770.0
2003,3,2,20,742.0
2003,3,2,21,690.0
2003,3,2,22,620.0
2003,3,2,23,583.0
2003,3,3,0,564.0
2003,3,3,1,558.0
2003,3,3,2,565.0
2003,3,3,3,573.0
2003,3,3,4,598.0
2003,3,3,5,664.0
2003,3,3,6,782.0
2003,3,3,7,833.0
2003,3,3,8,854.0
2003,3,3,9,869.0
2003,3,3,10,867.0
2003,3,3,11,874.0
2003,3,3,12,863.0
2003,3,3,13,849.0
2003,3,3,14,832.0
2003,3,3,15,820.0
2003,3,3,16,828.0
2003,3,3,17,861.0
2003,3,3,18,909.0
2003,3,3,19,891.0
2003,3,3,20,881.0
2003,3,3,21,852.0
2003,3,3,22,765.0
2003,3,3,23,708.0
2003,3,4,0,672.0
2003,3,4,1,664.0
2003,3,4,2,652.0
2003,3,4,3,650.0
2003,3,4,4,663.0
2003,3,4,5,716.0
2003,3,4,6,821.0
2003,3,4,7,865.0
2003,3,4,8,874.0
2003,3,4,9,870.0
2003,3,4,10,864.0
2003,3,4,11,870.0
2003,3,4,12,847.0
2003,3,4,13,833.0
2003,3,4,14,814.0
2003,3,4,15,811.0
2003,3,4,16,817.0
2003,3,4,17,838.0
2003,3,4,18,874.0
2003,3,4,19,856.0
2003,3,4,20,831.0
2003,3,4,21,785.0
2003,3,4,22,705.0
2003,3,4,23,643.0
2003,3,5,0,601.0
2003,3,5,1,581.0
2003,3,5,2,570.0
2003,3,5,3,571.0
2003,3,5,4,586.0
2003,3,5,5,641.0
2003,3,5,6,761.0
2003,3,5,7,804.0
2003,3,5,8,817.0
2003,3,5,9,814.0
2003,3,5,10,817.0
2003,3,5,11,830.0
2003,3,5,12,824.0
2003,3,5,13,817.0
2003,3,5,14,798.0
2003,3,5,15,795.0
2003,3,5,16,809.0
2003,3,5,17,829.0
2003,3,5,18,853.0
2003,3,5,19,832.0
2003,3,5,20,809.0
2003,3,5,21,764.0
2003,3,5,22,680.0
2003,3,5,23,623.0
2003,3,6,0,586.0
2003,3,6,1,572.0
2003,3,6,2,563.0
2003,3,6,3,563.0
2003,3,6,4,586.0
2003,3,6,5,644.0
2003,3,6,6,760.0
2003,3,6,7,812.0
2003,3,6,8,826.0
2003,3,6,9,830.0
2003,3,6,10,835.0
2003,3,6,11,850.0
2003,3,6,12,841.0
2003,3,6,13,840.0
2003,3,6,14,831.0
2003,3,6,15,820.0
2003,3,6,16,827.0
2003,3,6,17,846.0
2003,3,6,18,899.0
2003,3,6,19,885.0
2003,3,6,20,866.0
2003,3,6,21,830.0
2003,3,6,22,748.0
2003,3,6,23,687.0
2003,3,7,0,655.0
2003,3,7,1,641.0
2003,3,7,2,629.0
2003,3,7,3,632.0
2003,3,7,4,649.0
2003,3,7,5,708.0
2003,3,7,6,818.0
2003,3,7,7,860.0
2003,3,7,8,862.0
2003,3,7,9,854.0
2003,3,7,10,843.0
2003,3,7,11,846.0
2003,3,7,12,830.0
2003,3,7,13,812.0
2003,3,7,14,795.0
2003,3,7,15,783.0
2003,3,7,16,779.0
2003,3,7,17,792.0
2003,3,7,18,846.0
2003,3,7,19,833.0
2003,3,7,20,816.0
2003,3,7,21,786.0
2003,3,7,22,718.0
2003,3,7,23,650.0
2003,3,8,0,622.0
2003,3,8,1,599.0
2003,3,8,2,583.0
2003,3,8,3,577.0
2003,3,8,4,581.0
2003,3,8,5,604.0
2003,3,8,6,641.0
2003,3,8,7,690.0
2003,3,8,8,745.0
2003,3,8,9,763.0
2003,3,8,10,758.0
2003,3,8,11,754.0
2003,3,8,12,734.0
2003,3,8,13,711.0
2003,3,8,14,698.0
2003,3,8,15,697.0
2003,3,8,16,707.0
2003,3,8,17,745.0
2003,3,8,18,791.0
2003,3,8,19,770.0
2003,3,8,20,750.0
2003,3,8,21,705.0
2003,3,8,22,646.0
2003,3,8,23,590.0
2003,3,9,0,563.0
2003,3,9,1,535.0
2003,3,9,2,521.0
2003,3,9,3,515.0
2003,3,9,4,518.0
2003,3,9,5,536.0
2003,3,9,6,567.0
2003,3,9,7,618.0
2003,3,9,8,686.0
2003,3,9,9,730.0
2003,3,9,10,741.0
2003,3,9,11,750.0
2003,3,9,12,742.0
2003,3,9,13,726.0
2003,3,9,14,714.0
2003,3,9,15,714.0
2003,3,9,16,728.0
2003,3,9,17,769.0
2003,3,9,18,824.0
2003,3,9,19,819.0
2003,3,9,20,798.0
2003,3,9,21,734.0
2003,3,9,22,680.0
2003,3,9,23,624.0
2003,3,10,0,615.0
2003,3,10,1,601.0
2003,3,10,2,599.0
2003,3,10,3,604.0
2003,3,10,4,618.0
2003,3,10,5,677.0
2003,3,10,6,800.0
2003,3,10,7,852.0
2003,3,10,8,859.0
2003,3,10,9,869.0
2003,3,10,10,867.0
2003,3,10,11,880.0
2003,3,10,12,869.0
2003,3,10,13,855.0
2003,3,10,14,836.0
2003,3,10,15,823.0
2003,3,10,16,827.0
2003,3,10,17,851.0
2003,3,10,18,899.0
2003,3,10,19,890.0
2003,3,10,20,871.0
2003,3,10,21,826.0
2003,3,10,22,742.0
2003,3,10,23,682.0
2003,3,11,0,647.0
2003,3,11,1,631.0
2003,3,11,2,625.0
2003,3,11,3,623.0
2003,3,11,4,638.0
2003,3,11,5,702.0
2003,3,11,6,811.0
2003,3,11,7,864.0
2003,3,11,8,862.0
2003,3,11,9,862.0
2003,3,11,10,858.0
2003,3,11,11,863.0
2003,3,11,12,844.0
2003,3,11,13,828.0
2003,3,11,14,812.0
2003,3,11,15,801.0
2003,3,11,16,808.0
2003,3,11,17,828.0
2003,3,11,18,874.0
2003,3,11,19,860.0
2003,3,11,20,843.0
