Year,Month,Day,Hour,Load
2003,3,1,0,1855.0
2003,3,1,1,1795.0
2003,3,1,2,1761.0
2003,3,1,3,1740.0
2003,3,1,4,1750.0
2003,3,1,5,1799.0
2003,3,1,6,1888.0
2003,3,1,7,2001.0
2003,3,1,8,2135.0
2003,3,1,9,2210.0
2003,3,1,10,2217.0
2003,3,1,11,2184.0
2003,3,1,12,2123.0
2003,3,1,13,2067.0
2003,3,1,14,2032.0
2003,3,1,15,2019.0
2003,3,1,16,2066.0
2003,3,1,17,2186.0
2003,3,1,18,2279.0
2003,3,1,19,2235.0
2003,3,1,20,2168.0
2003,3,1,21,2072.0
2003,3,1,22,1941.0
2003,3,1,23,1797.0
2003,3,2,0,1685.0
2003,3,2,1,1626.0
2003,3,2,2,1583.0
2003,3,2,3,1558.0
2003,3,2,4,1555.0
2003,3,2,5,1581.0
2003,3,2,6,1643.0
2003,3,2,7,1731.0
2003,3,2,8,1881.0
2003,3,2,9,2019.0
2003,3,2,10,2109.0
2003,3,2,11,2161.0
2003,3,2,12,2173.0
2003,3,2,13,2154.0
2003,3,2,14,2112.0
2003,3,2,15,2098.0
2003,3,2,16,2169.0
2003,3,2,17,2258.0
2003,3,2,18,2333.0
2003,3,2,19,2290.0
2003,3,2,20,2208.0
2003,3,2,21,2069.0
2003,3,2,22,1900.0
2003,3,2,23,1756.0
2003,3,3,0,1661.0
2003,3,3,1,1627.0
2003,3,3,2,1634.0
2003,3,3,3,1665.0
2003,3,3,4,1744.0
2003,3,3,5,1946.0
2003,3,3,6,2276.0
2003,3,3,7,2493.0
2003,3,3,8,2557.0
2003,3,3,9,2581.0
2003,3,3,10,2600.0
2003,3,3,11,2588.0
2003,3,3,12,2561.0
2003,3,3,13,2530.0
2003,3,3,14,2487.0
2003,3,3,15,2477.0
2003,3,3,16,2525.0
2003,3,3,17,2660.0
2003,3,3,18,2825.0
2003,3,3,19,2798.0
2003,3,3,20,2711.0
2003,3,3,21,2554.0
2003,3,3,22,2344.0
2003,3,3,23,2160.0
2003,3,4,0,2052.0
2003,3,4,1,2001.0
2003,3,4,2,1985.0
2003,3,4,3,1989.0
2003,3,4,4,2035.0
2003,3,4,5,2203.0
2003,3,4,6,2486.0
2003,3,4,7,2666.0
2003,3,4,8,2698.0
2003,3,4,9,2670.0
2003,3,4,10,2629.0
2003,3,4,11,2583.0
2003,3,4,12,2519.0
2003,3,4,13,2481.0
2003,3,4,14,2420.0
2003,3,4,15,2391.0
2003,3,4,16,2420.0
2003,3,4,17,2530.0
2003,3,4,18,2671.0
2003,3,4,19,2632.0
2003,3,4,20,2531.0
2003,3,4,21,2366.0
2003,3,4,22,2152.0
2003,3,4,23,1959.0
2003,3,5,0,1838.0
2003,3,5,1,1769.0
2003,3,5,2,1733.0
2003,3,5,3,1721.0
2003,3,5,4,1755.0
2003,3,5,5,1928.0
2003,3,5,6,2120.0
2003,3,5,7,2292.0
2003,3,5,8,2320.0
2003,3,5,9,2323.0
2003,3,5,10,2334.0
2003,3,5,11,2323.0
2003,3,5,12,2299.0
2003,3,5,13,2299.0
2003,3,5,14,2277.0
2003,3,5,15,2264.0
2003,3,5,16,2350.0
2003,3,5,17,2500.0
2003,3,5,18,2565.0
2003,3,5,19,2516.0
2003,3,5,20,2425.0
2003,3,5,21,2267.0
2003,3,5,22,2050.0
2003,3,5,23,1870.0
2003,3,6,0,1773.0
2003,3,6,1,1734.0
2003,3,6,2,1710.0
2003,3,6,3,1711.0
2003,3,6,4,1757.0
2003,3,6,5,1910.0
2003,3,6,6,2219.0
2003,3,6,7,2387.0
2003,3,6,8,2433.0
2003,3,6,9,2442.0
2003,3,6,10,2469.0
2003,3,6,11,2493.0
2003,3,6,12,2502.0
2003,3,6,13,2524.0
2003,3,6,14,2508.0
2003,3,6,15,2500.0
2003,3,6,16,2463.0
2003,3,6,17,2628.0
2003,3,6,18,2767.0
2003,3,6,19,2715.0
2003,3,6,20,2604.0
2003,3,6,21,2442.0
2003,3,6,22,2250.0
2003,3,6,23,2072.0
2003,3,7,0,1969.0
